QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,PRODUCTLINE,CUSTOMERNAME,COUNTRY
46,74.45,1,3424.7,02/01/2004,Shipped,1,Ships,"Saveley & Henriot, Co.",France
20,89.4,2,1788.0,02/01/2004,Shipped,1,Vintage Cars,"Saveley & Henriot, Co.",France
38,74.67,3,2837.46,02/01/2004,Shipped,1,Ships,"Saveley & Henriot, Co.",France
37,100.0,4,3700.0,02/01/2004,Shipped,1,Ships,"Saveley & Henriot, Co.",France
33,85.41,5,2818.53,02/01/2004,Shipped,1,Ships,"Saveley & Henriot, Co.",France
42,63.88,6,2682.96,02/01/2004,Shipped,1,Ships,"Saveley & Henriot, Co.",France
35,100.0,7,3500.0,02/01/2004,Shipped,1,Ships,"Saveley & Henriot, Co.",France
45,87.77,8,3949.65,02/01/2004,Shipped,1,Vintage Cars,"Saveley & Henriot, Co.",France
24,100.0,9,2400.0,02/01/2004,Shipped,1,Vintage Cars,"Saveley & Henriot, Co.",France
40,80.55,10,3222.0,02/01/2004,Shipped,1,Ships,"Saveley & Henriot, Co.",France
48,100.0,11,4800.0,02/01/2004,Shipped,1,Trains,"Saveley & Henriot, Co.",France
20,100.0,12,2000.0,02/01/2004,Shipped,1,Classic Cars,"Saveley & Henriot, Co.",France
46,100.0,13,4600.0,02/01/2004,Shipped,1,Classic Cars,"Saveley & Henriot, Co.",France
26,100.0,14,2600.0,02/01/2004,Shipped,1,Classic Cars,"Saveley & Henriot, Co.",France
30,65.61,15,1968.3,02/01/2004,Shipped,1,Trains,"Saveley & Henriot, Co.",France
43,82.21,1,3535.03,09/01/2004,Shipped,1,Planes,"Men 'R' US Retailers, Ltd.",USA
36,77.59,2,2793.24,09/01/2004,Shipped,1,Vintage Cars,"Men 'R' US Retailers, Ltd.",USA
48,44.69,3,2145.12,09/01/2004,Shipped,1,Planes,"Men 'R' US Retailers, Ltd.",USA
